OBJECTID,pointid,grid_code,POINT_X,POINT_Y,POINT_Z
5765,5765,8,250781.3457,743003.3401,-126
5766,5766,8,250793.8457,743003.3401,-128
5767,5767,8,250806.3457,743003.3401,-130
5768,5768,8,250818.8457,743003.3401,-132
5769,5769,7,250831.3457,743003.3401,-135
5770,5770,7,250843.8457,743003.3401,-137
5774,5774,7,250893.8457,743003.3401,-144
5779,5779,7,250956.3457,743003.3401,-149
5890,5890,8,250443.8457,742978.3401,-95
5891,5891,7,250456.3457,742978.3401,-97
5964,5964,8,250418.8457,742965.8401,-90
5965,5965,8,250431.3457,742965.8401,-92
5966,5966,7,250443.8457,742965.8401,-93
6039,6039,7,250406.3457,742953.3401,-88
6040,6040,7,250418.8457,742953.3401,-90
6041,6041,7,250431.3457,742953.3401,-91
6117,6117,7,250418.8457,742940.8401,-89
6192,6192,8,250393.8457,742928.3401,-85
6269,6269,7,250393.8457,742915.8401,-84
7204,7204,7,250493.8457,742765.8401,-85
7205,7205,8,250506.3457,742765.8401,-85
7280,7280,7,250468.8457,742753.3401,-81
7281,7281,8,250481.3457,742753.3401,-81
7282,7282,8,250493.8457,742753.3401,-82
7283,7283,8,250506.3457,742753.3401,-81
7284,7284,8,250518.8457,742753.3401,-85
7285,7285,8,250531.3457,742753.3401,-86
7286,7286,8,250543.8457,742753.3401,-88
7287,7287,7,250556.3457,742753.3401,-90
7307,7307,7,250806.3457,742753.3401,-127
7308,7308,7,250818.8457,742753.3401,-128
7354,7354,8,250406.3457,742740.8401,-72
7355,7355,8,250418.8457,742740.8401,-74
7356,7356,8,250431.3457,742740.8401,-75
7357,7357,8,250443.8457,742740.8401,-76
7358,7358,8,250456.3457,742740.8401,-77
7359,7359,8,250468.8457,742740.8401,-78
7360,7360,8,250481.3457,742740.8401,-78
7361,7361,8,250493.8457,742740.8401,-77
7362,7362,8,250506.3457,742740.8401,-77
7363,7363,8,250518.8457,742740.8401,-81
7364,7364,8,250531.3457,742740.8401,-81
7365,7365,8,250543.8457,742740.8401,-83
7366,7366,8,250556.3457,742740.8401,-85
7367,7367,8,250568.8457,742740.8401,-88
7368,7368,7,250581.3457,742740.8401,-91
7369,7369,7,250593.8457,742740.8401,-94
7370,7370,7,250606.3457,742740.8401,-95
7371,7371,7,250618.8457,742740.8401,-97
7372,7372,7,250631.3457,742740.8401,-99
7385,7385,7,250793.8457,742740.8401,-124
7386,7386,7,250806.3457,742740.8401,-125
7387,7387,7,250818.8457,742740.8401,-126
7388,7388,7,250831.3457,742740.8401,-128
7433,7433,8,250406.3457,742728.3401,-67
7434,7434,8,250418.8457,742728.3401,-69
7435,7435,8,250431.3457,742728.3401,-71
7436,7436,8,250443.8457,742728.3401,-72
7437,7437,8,250456.3457,742728.3401,-73
7438,7438,8,250468.8457,742728.3401,-74
7439,7439,8,250481.3457,742728.3401,-73
7440,7440,8,250493.8457,742728.3401,-72
7441,7441,8,250506.3457,742728.3401,-71
7442,7442,8,250518.8457,742728.3401,-76
7443,7443,8,250531.3457,742728.3401,-76
7444,7444,8,250543.8457,742728.3401,-77
7445,7445,8,250556.3457,742728.3401,-78
7446,7446,8,250568.8457,742728.3401,-81
7447,7447,8,250581.3457,742728.3401,-85
7448,7448,8,250593.8457,742728.3401,-89
7449,7449,8,250606.3457,742728.3401,-91
7450,7450,8,250618.8457,742728.3401,-93
7451,7451,8,250631.3457,742728.3401,-96
7452,7452,8,250643.8457,742728.3401,-99
7463,7463,7,250781.3457,742728.3401,-121
7464,7464,8,250793.8457,742728.3401,-121
