OBJECTID,pointid,grid_code,POINT_X,POINT_Y,POINT_Z
270,270,11,222889.903320312500000,632555.088867187500000,749.000000000000000
271,271,16,222902.322509765625000,632555.088867187500000,751.000000000000000
272,272,18,222914.741699218750000,632555.088867187500000,753.000000000000000
273,273,19,222927.161010742187500,632555.088867187500000,754.000000000000000
274,274,18,222939.580200195312500,632555.088867187500000,755.000000000000000
275,275,21,222951.999511718750000,632555.088867187500000,757.000000000000000
276,276,20,222964.418701171875000,632555.088867187500000,758.000000000000000
277,277,22,222976.837890625000000,632555.088867187500000,759.000000000000000
278,278,21,222989.257080078125000,632555.088867187500000,760.000000000000000
279,279,21,223001.676391601562500,632555.088867187500000,761.000000000000000
280,280,19,223014.095581054687500,632555.088867187500000,762.000000000000000
281,281,22,223026.514770507812500,632555.088867187500000,764.000000000000000
282,282,20,223038.933959960937500,632555.088867187500000,764.000000000000000
283,283,14,223051.353149414062500,632555.088867187500000,765.000000000000000
284,284,14,223063.772460937500000,632555.088867187500000,767.000000000000000
285,285,15,223076.191650390625000,632555.088867187500000,768.000000000000000
286,286,15,223088.610839843750000,632555.088867187500000,769.000000000000000
287,287,12,223101.030029296875000,632555.088867187500000,769.000000000000000
288,288,8,223113.449218750000000,632555.088867187500000,769.000000000000000
289,289,8,223125.868530273437500,632555.088867187500000,769.000000000000000
290,290,5,223138.287719726562500,632555.088867187500000,769.000000000000000
291,291,5,223150.706909179687500,632555.088867187500000,770.000000000000000
292,292,8,223163.126220703125000,632555.088867187500000,772.000000000000000
293,293,8,223175.545410156250000,632555.088867187500000,774.000000000000000
294,294,8,223187.964599609375000,632555.088867187500000,776.000000000000000
295,295,8,223200.383911132812500,632555.088867187500000,777.000000000000000
296,296,8,223212.803100585937500,632555.088867187500000,779.000000000000000
297,297,10,223225.222290039062500,632555.088867187500000,780.000000000000000
298,298,11,223237.641479492187500,632555.088867187500000,781.000000000000000
299,299,9,223250.060668945312500,632555.088867187500000,782.000000000000000
300,300,10,223262.479980468750000,632555.088867187500000,782.000000000000000
301,301,9,223274.899169921875000,632555.088867187500000,784.000000000000000
302,302,9,223287.318359375000000,632555.088867187500000,785.000000000000000
303,303,12,223299.737548828125000,632555.088867187500000,787.000000000000000
